number_people,date,day_of_week,month,hour,gymId
29,2021-08-15 14:30,6,8,14,16
27,2021-08-15 14:40,6,8,14,4
29,2021-08-15 14:50,6,8,14,16
25,2021-08-15 15:00,6,8,15,9
29,2021-08-15 15:20,6,8,15,5
35,2021-08-15 15:30,6,8,15,6
32,2021-08-15 15:40,6,8,15,3
36,2021-08-15 15:50,6,8,15,8
31,2021-08-15 16:00,6,8,16,16
24,2021-08-15 16:20,6,8,16,4
26,2021-08-15 16:30,6,8,16,2
28,2021-08-15 16:40,6,8,16,1
33,2021-08-15 16:50,6,8,16,2
26,2021-08-15 17:00,6,8,17,3
31,2021-08-15 17:20,6,8,17,18
39,2021-08-15 17:30,6,8,17,11
43,2021-08-15 17:40,6,8,17,2
40,2021-08-15 17:50,6,8,17,11
36,2021-08-15 18:00,6,8,18,7
43,2021-08-15 18:20,6,8,18,1
38,2021-08-15 18:30,6,8,18,19
32,2021-08-15 18:40,6,8,18,6
29,2021-08-15 18:50,6,8,18,10
31,2021-08-15 19:00,6,8,19,7
27,2021-08-15 19:20,6,8,19,9
23,2021-08-15 19:30,6,8,19,4
29,2021-08-15 19:40,6,8,19,6
28,2021-08-15 19:50,6,8,19,14
29,2021-08-15 20:00,6,8,20,17
29,2021-08-15 20:20,6,8,20,1
31,2021-08-15 20:30,6,8,20,15
28,2021-08-15 20:40,6,8,20,12
33,2021-08-15 20:50,6,8,20,13
26,2021-08-15 21:00,6,8,21,1
25,2021-08-15 21:20,6,8,21,6
29,2021-08-15 21:30,6,8,21,18
22,2021-08-15 21:40,6,8,21,11
24,2021-08-15 21:50,6,8,21,11
26,2021-08-15 22:00,6,8,22,13
22,2021-08-15 22:20,6,8,22,7
25,2021-08-15 22:30,6,8,22,13
26,2021-08-15 22:40,6,8,22,19
12,2021-08-15 22:50,6,8,22,20
17,2021-08-15 23:00,6,8,23,4
4,2021-08-15 23:20,6,8,23,4
2,2021-08-15 23:30,6,8,23,6
0,2021-08-15 23:40,6,8,23,2
0,2021-08-15 23:50,6,8,23,6
0,2021-08-16 0:00,0,8,0,6
0,2021-08-16 0:20,0,8,0,8
0,2021-08-16 0:30,0,8,0,13
0,2021-08-16 0:40,0,8,0,12
0,2021-08-16 0:50,0,8,0,9
0,2021-08-16 1:00,0,8,1,1
0,2021-08-16 5:20,0,8,5,13
0,2021-08-16 5:30,0,8,5,16
0,2021-08-16 5:40,0,8,5,14
0,2021-08-16 5:50,0,8,5,20
0,2021-08-16 6:00,0,8,6,11
0,2021-08-16 6:20,0,8,6,4
0,2021-08-16 6:30,0,8,6,9
0,2021-08-16 6:40,0,8,6,20
0,2021-08-16 6:50,0,8,6,19
1,2021-08-16 7:00,0,8,7,17
0,2021-08-16 7:20,0,8,7,7
0,2021-08-16 7:30,0,8,7,15
2,2021-08-16 7:40,0,8,7,12
2,2021-08-16 7:50,0,8,7,3
3,2021-08-16 8:00,0,8,8,3
12,2021-08-16 8:20,0,8,8,7
18,2021-08-16 8:30,0,8,8,3
11,2021-08-16 8:40,0,8,8,19
16,2021-08-16 8:50,0,8,8,17
15,2021-08-16 9:00,0,8,9,19
18,2021-08-16 9:20,0,8,9,19
17,2021-08-16 9:30,0,8,9,1
12,2021-08-16 9:40,0,8,9,17
22,2021-08-16 9:50,0,8,9,11
23,2021-08-16 10:00,0,8,10,11
27,2021-08-16 10:20,0,8,10,20
25,2021-08-16 10:30,0,8,10,11
20,2021-08-16 10:40,0,8,10,10
25,2021-08-16 10:50,0,8,10,6
19,2021-08-16 11:00,0,8,11,11
18,2021-08-16 11:20,0,8,11,9
25,2021-08-16 11:30,0,8,11,7
29,2021-08-16 11:40,0,8,11,20
24,2021-08-16 11:50,0,8,11,6
29,2021-08-16 12:00,0,8,12,14
22,2021-08-16 12:20,0,8,12,19
20,2021-08-16 12:30,0,8,12,6
34,2021-08-16 12:40,0,8,12,14
19,2021-08-16 12:50,0,8,12,15
16,2021-08-16 13:00,0,8,13,17
27,2021-08-16 13:20,0,8,13,10
28,2021-08-16 13:30,0,8,13,10
24,2021-08-16 13:40,0,8,13,5
26,2021-08-16 13:50,0,8,13,18
16,2021-08-16 14:00,0,8,14,1
20,2021-08-16 14:20,0,8,14,10
21,2021-08-16 14:30,0,8,14,12
20,2021-08-16 14:40,0,8,14,3
22,2021-08-16 14:50,0,8,14,15
19,2021-08-16 15:00,0,8,15,3
27,2021-08-16 15:20,0,8,15,7
31,2021-08-16 15:30,0,8,15,17
32,2021-08-16 15:40,0,8,15,4
27,2021-08-16 15:50,0,8,15,7
27,2021-08-16 16:00,0,8,16,17
24,2021-08-16 16:20,0,8,16,6
29,2021-08-16 16:30,0,8,16,9
25,2021-08-16 16:40,0,8,16,11
30,2021-08-16 16:50,0,8,16,15
31,2021-08-16 17:00,0,8,17,16
40,2021-08-16 17:20,0,8,17,5
30,2021-08-16 17:30,0,8,17,10
35,2021-08-16 17:40,0,8,17,13
34,2021-08-16 17:50,0,8,17,16
31,2021-08-16 18:00,0,8,18,1
27,2021-08-16 18:20,0,8,18,12
36,2021-08-16 18:30,0,8,18,17
27,2021-08-16 18:40,0,8,18,14
33,2021-08-16 18:50,0,8,18,8
38,2021-08-16 19:00,0,8,19,1
41,2021-08-16 19:20,0,8,19,9
39,2021-08-16 19:30,0,8,19,7
39,2021-08-16 19:40,0,8,19,8
41,2021-08-16 19:50,0,8,19,13
28,2021-08-16 20:00,0,8,20,7
38,2021-08-16 20:20,0,8,20,16
38,2021-08-16 20:30,0,8,20,18
39,2021-08-16 20:40,0,8,20,5
25,2021-08-16 20:50,0,8,20,1
32,2021-08-16 21:00,0,8,21,1
27,2021-08-16 21:20,0,8,21,12
26,2021-08-16 21:30,0,8,21,19
31,2021-08-16 21:40,0,8,21,10
26,2021-08-16 21:50,0,8,21,1
38,2021-08-16 22:00,0,8,22,20
34,2021-08-16 22:20,0,8,22,13
35,2021-08-16 22:30,0,8,22,16
24,2021-08-16 22:40,0,8,22,2
31,2021-08-16 22:50,0,8,22,9
22,2021-08-16 23:00,0,8,23,3
21,2021-08-16 23:20,0,8,23,18
17,2021-08-16 23:30,0,8,23,6
19,2021-08-16 23:40,0,8,23,20
22,2021-08-16 23:50,0,8,23,8
17,2021-08-17 0:00,1,8,0,1
17,2021-08-17 0:20,1,8,0,13
14,2021-08-17 0:30,1,8,0,18
9,2021-08-17 0:40,1,8,0,13
11,2021-08-17 0:50,1,8,0,6
6,2021-08-17 1:00,1,8,1,7
3,2021-08-17 5:20,1,8,5,17
1,2021-08-17 5:30,1,8,5,15
4,2021-08-17 5:40,1,8,5,19
0,2021-08-17 5:50,1,8,5,18
9,2021-08-17 6:00,1,8,6,3
9,2021-08-17 6:20,1,8,6,2
16,2021-08-17 6:30,1,8,6,19
18,2021-08-17 6:40,1,8,6,11
13,2021-08-17 6:50,1,8,6,1
23,2021-08-17 7:00,1,8,7,9
26,2021-08-17 7:20,1,8,7,1
23,2021-08-17 7:30,1,8,7,3
17,2021-08-17 7:40,1,8,7,2
27,2021-08-17 7:50,1,8,7,11
23,2021-08-17 8:00,1,8,8,1
38,2021-08-17 8:20,1,8,8,2
24,2021-08-17 8:30,1,8,8,20
23,2021-08-17 8:40,1,8,8,18
32,2021-08-17 8:50,1,8,8,17
31,2021-08-17 9:00,1,8,9,14
31,2021-08-17 9:20,1,8,9,2
26,2021-08-17 9:30,1,8,9,12
34,2021-08-17 9:40,1,8,9,10
39,2021-08-17 9:50,1,8,9,9
39,2021-08-17 10:00,1,8,10,2
33,2021-08-17 10:20,1,8,10,3
33,2021-08-17 10:30,1,8,10,18
37,2021-08-17 10:40,1,8,10,8
29,2021-08-17 10:50,1,8,10,12
32,2021-08-17 11:00,1,8,11,3
35,2021-08-17 11:20,1,8,11,14
26,2021-08-17 11:30,1,8,11,14
34,2021-08-17 11:40,1,8,11,13
29,2021-08-17 11:50,1,8,11,11
28,2021-08-17 12:00,1,8,12,13
32,2021-08-17 12:20,1,8,12,7
27,2021-08-17 12:30,1,8,12,17
26,2021-08-17 12:40,1,8,12,2
27,2021-08-17 12:50,1,8,12,8
31,2021-08-17 13:00,1,8,13,14
33,2021-08-17 13:20,1,8,13,20
31,2021-08-17 13:30,1,8,13,19
30,2021-08-17 13:40,1,8,13,17
28,2021-08-17 13:50,1,8,13,2
27,2021-08-17 14:00,1,8,14,19
30,2021-08-17 14:20,1,8,14,10
18,2021-08-17 14:30,1,8,14,9
27,2021-08-17 14:40,1,8,14,13
37,2021-08-17 14:50,1,8,14,2
33,2021-08-17 15:00,1,8,15,14
33,2021-08-17 15:20,1,8,15,6
44,2021-08-17 15:30,1,8,15,16
43,2021-08-17 15:40,1,8,15,13
48,2021-08-17 15:50,1,8,15,7
45,2021-08-17 16:00,1,8,16,1
50,2021-08-17 16:20,1,8,16,15
35,2021-08-17 16:30,1,8,16,4
45,2021-08-17 16:40,1,8,16,16
47,2021-08-17 16:50,1,8,16,15
47,2021-08-17 17:00,1,8,17,19
55,2021-08-17 17:20,1,8,17,20
68,2021-08-17 17:30,1,8,17,3
44,2021-08-17 17:40,1,8,17,5
44,2021-08-17 17:50,1,8,17,5
65,2021-08-17 18:00,1,8,18,8
63,2021-08-17 18:20,1,8,18,3
36,2021-08-17 18:30,1,8,18,4
74,2021-08-17 18:40,1,8,18,14
69,2021-08-17 18:50,1,8,18,10
52,2021-08-17 19:00,1,8,19,20
53,2021-08-17 19:20,1,8,19,20
45,2021-08-17 19:30,1,8,19,16
60,2021-08-17 19:40,1,8,19,10
43,2021-08-17 19:50,1,8,19,5
26,2021-08-17 20:00,1,8,20,12
50,2021-08-17 20:20,1,8,20,15
45,2021-08-17 20:30,1,8,20,15
52,2021-08-17 20:40,1,8,20,7
43,2021-08-17 20:50,1,8,20,16
64,2021-08-17 21:00,1,8,21,14
60,2021-08-17 21:20,1,8,21,8
44,2021-08-17 21:30,1,8,21,15
50,2021-08-17 21:40,1,8,21,18
46,2021-08-17 21:50,1,8,21,6
39,2021-08-17 22:00,1,8,22,14
42,2021-08-17 22:20,1,8,22,6
49,2021-08-17 22:30,1,8,22,13
34,2021-08-17 22:40,1,8,22,17
32,2021-08-17 22:50,1,8,22,18
35,2021-08-17 23:00,1,8,23,15
27,2021-08-17 23:20,1,8,23,11
21,2021-08-17 23:30,1,8,23,5
28,2021-08-17 23:40,1,8,23,19
23,2021-08-17 23:50,1,8,23,2
20,2021-08-18 0:00,2,8,0,7
19,2021-08-18 0:20,2,8,0,7
15,2021-08-18 0:30,2,8,0,2
15,2021-08-18 0:40,2,8,0,11
18,2021-08-18 0:50,2,8,0,19
12,2021-08-18 1:00,2,8,1,16
0,2021-08-18 5:20,2,8,5,7
0,2021-08-18 5:30,2,8,5,13
0,2021-08-18 5:40,2,8,5,19
0,2021-08-18 5:50,2,8,5,9
2,2021-08-18 6:00,2,8,6,17
7,2021-08-18 6:20,2,8,6,1
10,2021-08-18 6:30,2,8,6,3
11,2021-08-18 6:40,2,8,6,20
6,2021-08-18 6:50,2,8,6,2
17,2021-08-18 7:00,2,8,7,4
14,2021-08-18 7:20,2,8,7,2
20,2021-08-18 7:30,2,8,7,12
19,2021-08-18 7:40,2,8,7,17
22,2021-08-18 7:50,2,8,7,17
27,2021-08-18 8:00,2,8,8,16
32,2021-08-18 8:20,2,8,8,10
28,2021-08-18 8:30,2,8,8,12
35,2021-08-18 8:40,2,8,8,17
39,2021-08-18 8:50,2,8,8,14
35,2021-08-18 9:00,2,8,9,18
34,2021-08-18 9:20,2,8,9,17
34,2021-08-18 9:30,2,8,9,1
28,2021-08-18 9:40,2,8,9,7
19,2021-08-18 9:50,2,8,9,10
32,2021-08-18 10:00,2,8,10,10
48,2021-08-18 10:20,2,8,10,3
47,2021-08-18 10:30,2,8,10,7
37,2021-08-18 10:40,2,8,10,9
32,2021-08-18 10:50,2,8,10,13
30,2021-08-18 11:00,2,8,11,15
35,2021-08-18 11:20,2,8,11,2
26,2021-08-18 11:30,2,8,11,13
26,2021-08-18 11:40,2,8,11,6
22,2021-08-18 11:50,2,8,11,6
29,2021-08-18 12:00,2,8,12,12
31,2021-08-18 12:20,2,8,12,5
28,2021-08-18 12:30,2,8,12,11
24,2021-08-18 12:40,2,8,12,15
27,2021-08-18 12:50,2,8,12,12
34,2021-08-18 13:00,2,8,13,7
25,2021-08-18 13:20,2,8,13,12
29,2021-08-18 13:30,2,8,13,15
31,2021-08-18 13:40,2,8,13,17
24,2021-08-18 13:50,2,8,13,18
27,2021-08-18 14:00,2,8,14,1
36,2021-08-18 14:20,2,8,14,13
27,2021-08-18 14:30,2,8,14,12
44,2021-08-18 14:40,2,8,14,1
32,2021-08-18 14:50,2,8,14,15
28,2021-08-18 15:00,2,8,15,4
28,2021-08-18 15:20,2,8,15,12
43,2021-08-18 15:30,2,8,15,15
32,2021-08-18 15:40,2,8,15,19
37,2021-08-18 15:50,2,8,15,9
34,2021-08-18 16:00,2,8,16,3
26,2021-08-18 16:20,2,8,16,12
41,2021-08-18 16:30,2,8,16,7
41,2021-08-18 16:35,2,8,16,13
35,2021-08-18 16:40,2,8,16,8
43,2021-08-18 16:50,2,8,16,13
45,2021-08-18 17:00,2,8,17,13
53,2021-08-18 17:20,2,8,17,7
50,2021-08-18 17:30,2,8,17,9
63,2021-08-18 17:40,2,8,17,19
42,2021-08-18 17:50,2,8,17,11
62,2021-08-18 18:00,2,8,18,15
43,2021-08-18 18:20,2,8,18,13
26,2021-08-18 18:30,2,8,18,12
52,2021-08-18 18:40,2,8,18,9
61,2021-08-18 18:50,2,8,18,10
54,2021-08-18 19:00,2,8,19,3
51,2021-08-18 19:20,2,8,19,20
67,2021-08-18 19:30,2,8,19,17
65,2021-08-18 19:40,2,8,19,10
53,2021-08-18 19:50,2,8,19,8
42,2021-08-18 20:00,2,8,20,5
60,2021-08-18 20:20,2,8,20,14
44,2021-08-18 20:30,2,8,20,8
44,2021-08-18 20:40,2,8,20,15
43,2021-08-18 20:50,2,8,20,10
35,2021-08-18 21:00,2,8,21,1
29,2021-08-18 21:20,2,8,21,12
44,2021-08-18 21:30,2,8,21,1
40,2021-08-18 21:40,2,8,21,19
54,2021-08-18 21:50,2,8,21,17
41,2021-08-18 22:00,2,8,22,5
45,2021-08-18 22:20,2,8,22,16
37,2021-08-18 22:30,2,8,22,10
40,2021-08-18 22:40,2,8,22,16
36,2021-08-18 22:50,2,8,22,8
41,2021-08-18 23:00,2,8,23,11
32,2021-08-18 23:20,2,8,23,10
29,2021-08-18 23:30,2,8,23,3
27,2021-08-18 23:40,2,8,23,15
27,2021-08-18 23:50,2,8,23,19
23,2021-08-19 0:00,3,8,0,17
14,2021-08-19 0:20,3,8,0,10
15,2021-08-19 0:30,3,8,0,16
12,2021-08-19 0:40,3,8,0,14
7,2021-08-19 0:50,3,8,0,3
6,2021-08-19 1:00,3,8,1,9
2,2021-08-19 5:20,3,8,5,11
4,2021-08-19 5:30,3,8,5,15
6,2021-08-19 5:40,3,8,5,18
5,2021-08-19 5:50,3,8,5,14
10,2021-08-19 6:00,3,8,6,5
10,2021-08-19 6:20,3,8,6,18
12,2021-08-19 6:30,3,8,6,13
9,2021-08-19 6:40,3,8,6,15
12,2021-08-19 6:50,3,8,6,1
21,2021-08-19 7:00,3,8,7,8
23,2021-08-19 7:20,3,8,7,8
21,2021-08-19 7:30,3,8,7,17
15,2021-08-19 7:40,3,8,7,11
26,2021-08-19 7:50,3,8,7,17
31,2021-08-19 8:00,3,8,8,7
37,2021-08-19 8:20,3,8,8,6
31,2021-08-19 8:30,3,8,8,19
24,2021-08-19 8:40,3,8,8,13
32,2021-08-19 8:50,3,8,8,1
26,2021-08-19 9:00,3,8,9,12
24,2021-08-19 9:20,3,8,9,11
27,2021-08-19 9:30,3,8,9,20
21,2021-08-19 9:40,3,8,9,17
26,2021-08-19 9:50,3,8,9,20
29,2021-08-19 10:00,3,8,10,20
31,2021-08-19 10:20,3,8,10,16
34,2021-08-19 10:30,3,8,10,6
35,2021-08-19 10:40,3,8,10,11
42,2021-08-19 10:50,3,8,10,1
34,2021-08-19 11:00,3,8,11,16
35,2021-08-19 11:20,3,8,11,2
43,2021-08-19 11:30,3,8,11,3
38,2021-08-19 11:40,3,8,11,10
31,2021-08-19 11:50,3,8,11,8
45,2021-08-19 12:00,3,8,12,5
39,2021-08-19 12:20,3,8,12,1
33,2021-08-19 12:30,3,8,12,13
30,2021-08-19 12:40,3,8,12,6
32,2021-08-19 12:50,3,8,12,8
38,2021-08-19 13:00,3,8,13,14
29,2021-08-19 13:20,3,8,13,16
32,2021-08-19 13:30,3,8,13,11
39,2021-08-19 13:40,3,8,13,1
25,2021-08-19 13:50,3,8,13,13
20,2021-08-19 14:00,3,8,14,12
35,2021-08-19 14:20,3,8,14,18
30,2021-08-19 14:30,3,8,14,5
28,2021-08-19 14:40,3,8,14,12
32,2021-08-19 14:50,3,8,14,19
29,2021-08-19 15:00,3,8,15,5
30,2021-08-19 15:20,3,8,15,8
40,2021-08-19 15:30,3,8,15,3
39,2021-08-19 15:40,3,8,15,2
46,2021-08-19 15:50,3,8,15,14
35,2021-08-19 16:00,3,8,16,17
27,2021-08-19 16:20,3,8,16,12
47,2021-08-19 16:30,3,8,16,14
50,2021-08-19 16:40,3,8,16,15
44,2021-08-19 16:50,3,8,16,5
43,2021-08-19 17:00,3,8,17,11
42,2021-08-19 17:20,3,8,17,13
70,2021-08-19 17:30,3,8,17,19
64,2021-08-19 17:40,3,8,17,17
43,2021-08-19 17:50,3,8,17,2
49,2021-08-19 18:00,3,8,18,1
65,2021-08-19 18:20,3,8,18,8
52,2021-08-19 18:30,3,8,18,9
54,2021-08-19 18:40,3,8,18,18
54,2021-08-19 18:50,3,8,18,19
41,2021-08-19 19:00,3,8,19,16
45,2021-08-19 19:20,3,8,19,2
36,2021-08-19 19:30,3,8,19,4
63,2021-08-19 19:40,3,8,19,18
58,2021-08-19 19:50,3,8,19,9
48,2021-08-19 20:00,3,8,20,5
44,2021-08-19 20:20,3,8,20,19
40,2021-08-19 20:30,3,8,20,14
50,2021-08-19 20:40,3,8,20,20
44,2021-08-19 20:50,3,8,20,2
58,2021-08-19 21:00,3,8,21,8
44,2021-08-19 21:20,3,8,21,5
44,2021-08-19 21:30,3,8,21,1
47,2021-08-19 21:40,3,8,21,20
35,2021-08-19 21:50,3,8,21,4
44,2021-08-19 22:00,3,8,22,1
47,2021-08-19 22:20,3,8,22,10
38,2021-08-19 22:30,3,8,22,8
45,2021-08-19 22:40,3,8,22,10
47,2021-08-19 22:50,3,8,22,1
37,2021-08-19 23:00,3,8,23,7
27,2021-08-19 23:20,3,8,23,1
25,2021-08-19 23:30,3,8,23,3
31,2021-08-19 23:40,3,8,23,2
28,2021-08-19 23:50,3,8,23,18
21,2021-08-20 0:00,4,8,0,6
12,2021-08-20 0:20,4,8,0,15
12,2021-08-20 0:30,4,8,0,20
7,2021-08-20 0:40,4,8,0,7
7,2021-08-20 0:50,4,8,0,8
6,2021-08-20 1:00,4,8,1,2
0,2021-08-20 5:20,4,8,5,11
1,2021-08-20 5:30,4,8,5,3
1,2021-08-20 5:40,4,8,5,4
5,2021-08-20 5:50,4,8,5,10
6,2021-08-20 6:00,4,8,6,14
10,2021-08-20 6:20,4,8,6,3
9,2021-08-20 6:30,4,8,6,18
11,2021-08-20 6:40,4,8,6,11
13,2021-08-20 6:50,4,8,6,10
15,2021-08-20 7:00,4,8,7,11
23,2021-08-20 7:20,4,8,7,6
29,2021-08-20 7:30,4,8,7,17
28,2021-08-20 7:40,4,8,7,2
32,2021-08-20 7:50,4,8,7,18
36,2021-08-20 8:00,4,8,8,1
38,2021-08-20 8:20,4,8,8,8
32,2021-08-20 8:30,4,8,8,2
24,2021-08-20 8:40,4,8,8,19
33,2021-08-20 8:50,4,8,8,19
25,2021-08-20 9:00,4,8,9,17
20,2021-08-20 9:20,4,8,9,17
21,2021-08-20 9:30,4,8,9,5
17,2021-08-20 9:40,4,8,9,3
23,2021-08-20 9:50,4,8,9,14
28,2021-08-20 10:00,4,8,10,18
39,2021-08-20 10:20,4,8,10,20
30,2021-08-20 10:30,4,8,10,20
36,2021-08-20 10:40,4,8,10,2
32,2021-08-20 10:50,4,8,10,3
24,2021-08-20 11:00,4,8,11,14
36,2021-08-20 11:20,4,8,11,17
34,2021-08-20 11:30,4,8,11,11
28,2021-08-20 11:40,4,8,11,12
30,2021-08-20 11:50,4,8,11,7
32,2021-08-20 12:00,4,8,12,1
29,2021-08-20 12:20,4,8,12,8
28,2021-08-20 12:30,4,8,12,16
34,2021-08-20 12:40,4,8,12,5
30,2021-08-20 12:50,4,8,12,8
33,2021-08-20 13:00,4,8,13,10
36,2021-08-20 13:20,4,8,13,19
30,2021-08-20 13:30,4,8,13,7
38,2021-08-20 13:40,4,8,13,20
33,2021-08-20 13:50,4,8,13,4
34,2021-08-20 14:00,4,8,14,4
30,2021-08-20 14:20,4,8,14,16
30,2021-08-20 14:30,4,8,14,15
27,2021-08-20 14:40,4,8,14,6
33,2021-08-20 14:50,4,8,14,11
43,2021-08-20 15:00,4,8,15,2
31,2021-08-20 15:20,4,8,15,13
47,2021-08-20 15:30,4,8,15,2
49,2021-08-20 15:40,4,8,15,3
42,2021-08-20 15:50,4,8,15,5
41,2021-08-20 16:00,4,8,16,7
38,2021-08-20 16:20,4,8,16,10
44,2021-08-20 16:30,4,8,16,18
48,2021-08-20 16:40,4,8,16,18
42,2021-08-20 16:50,4,8,16,16
41,2021-08-20 17:00,4,8,17,5
53,2021-08-20 17:20,4,8,17,8
61,2021-08-20 17:30,4,8,17,18
57,2021-08-20 17:40,4,8,17,18
36,2021-08-20 17:50,4,8,17,4
45,2021-08-20 18:00,4,8,18,1
44,2021-08-20 18:20,4,8,18,5
28,2021-08-20 18:30,4,8,18,12
41,2021-08-20 18:40,4,8,18,13
52,2021-08-20 18:50,4,8,18,6
42,2021-08-20 19:00,4,8,19,16
39,2021-08-20 19:20,4,8,19,16
28,2021-08-20 19:30,4,8,19,12
28,2021-08-20 19:40,4,8,19,12
42,2021-08-20 19:50,4,8,19,16
53,2021-08-20 20:00,4,8,20,20
38,2021-08-20 20:20,4,8,20,5
32,2021-08-20 20:30,4,8,20,3
42,2021-08-20 20:40,4,8,20,20
34,2021-08-20 20:50,4,8,20,17
41,2021-08-20 21:00,4,8,21,9
37,2021-08-20 21:20,4,8,21,7
41,2021-08-20 21:30,4,8,21,16
43,2021-08-20 21:40,4,8,21,13
33,2021-08-20 21:50,4,8,21,2
32,2021-08-20 22:00,4,8,22,11
39,2021-08-20 22:20,4,8,22,6
33,2021-08-20 22:30,4,8,22,19
25,2021-08-20 22:40,4,8,22,10
27,2021-08-20 22:50,4,8,22,5
31,2021-08-20 23:00,4,8,23,13
26,2021-08-20 23:20,4,8,23,19
29,2021-08-20 23:30,4,8,23,9
29,2021-08-20 23:40,4,8,23,18
21,2021-08-20 23:50,4,8,23,11
22,2021-08-21 0:00,5,8,0,16
22,2021-08-21 0:20,5,8,0,15
16,2021-08-21 0:30,5,8,0,3
11,2021-08-21 0:40,5,8,0,15
1,2021-08-21 5:20,5,8,5,7
2,2021-08-21 5:30,5,8,5,2
2,2021-08-21 5:40,5,8,5,20
2,2021-08-21 5:50,5,8,5,14
5,2021-08-21 6:00,5,8,6,4
13,2021-08-21 6:20,5,8,6,10
14,2021-08-21 6:30,5,8,6,16
11,2021-08-21 6:40,5,8,6,4
16,2021-08-21 6:50,5,8,6,8
20,2021-08-21 7:00,5,8,7,11
26,2021-08-21 7:20,5,8,7,11
21,2021-08-21 7:30,5,8,7,19
24,2021-08-21 7:40,5,8,7,15
20,2021-08-21 7:50,5,8,7,6
30,2021-08-21 8:00,5,8,8,19
34,2021-08-21 8:20,5,8,8,14
39,2021-08-21 8:30,5,8,8,8
36,2021-08-21 8:40,5,8,8,17
36,2021-08-21 8:50,5,8,8,1
30,2021-08-21 9:00,5,8,9,19
26,2021-08-21 9:20,5,8,9,12
24,2021-08-21 9:30,5,8,9,8
28,2021-08-21 9:40,5,8,9,12
36,2021-08-21 9:50,5,8,9,15
